ID;country-name;continent
1;United States;North America
2;Angola;Africa
3;Argentina;South America
4;Australia;Oceania
5;Brazil;South America
6;Cape Verde;Africa
7;China;Asia
8;Croatia;Europe
9;Czech Republic;Europe
10;Denmark;Europe
11;Ecuador;South America
12;Egypt;Africa
13;El Salvador;North America
14;Estonia;Europe
15;Ethiopia;Africa
16;Finland;Europe
17;France;Europe
18;Germany;Europe
19;Greece;Europe
20;Hong Kong;Asia
21;Hungary;Europe
22;Iran;Asia
23;Ireland;Europe
24;Israel;Asia
25;Italy;Europe
26;Japan;Asia
27;Luxembourg;Europe
28;Madagascar;Africa
29;Malaysia;Asia
30;Maldives;Asia
31;Mexico;North America
32;Morocco;Africa
33;Mozambique;Africa
34;Netherlands;Europe
35;New Zealand;Oceania
36;Nigeria;Africa
37;Norway;Europe
38;Portugal;Europe
39;Sao Tome;Africa
40;South Africa;Africa
41;Spain;Europe
42;Sweden;Europe
43;Switzerland;Europe
44;Turkey;Asia
45;United Kingdom;Europe
